driverref,position,time,ms,lap,raceid,roundNum,circuitName,circuitLat,circuitLong,circuitCountry,circuitCity
zhou,13,01:41.3,101339,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,14,01:43.5,103500,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,15,01:42.4,102350,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,16,01:44.0,103969,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,17,01:43.2,103228,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:43.4,103420,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:42.7,102678,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:42.8,102777,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:39.3,99306,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.5,99479,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.9,99942,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,4,01:39.9,99931,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,5,01:42.9,102945,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:40.4,100358,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:41.1,101064,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:41.1,101089,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,9,01:41.1,101082,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,10,01:41.3,101313,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,11,01:44.3,104265,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,12,01:41.1,101075,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,13,01:41.1,101057,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,14,01:42.6,102588,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,15,01:42.3,102343,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,16,01:42.8,102809,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,17,01:42.6,102603,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:42.8,102833,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:42.8,102822,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:42.6,102641,11,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:39.3,99256,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.4,99410,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:40.1,100097,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,4,01:39.8,99754,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,5,01:40.2,100215,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,6,01:41.4,101370,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,7,01:41.3,101347,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,8,01:41.1,101094,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,9,01:41.1,101096,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,10,01:41.1,101073,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,11,01:41.3,101281,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,12,02:03.7,123697,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,13,01:42.5,102505,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,14,01:42.5,102462,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,15,01:42.8,102821,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,16,01:42.6,102645,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,17,01:45.9,105949,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,18,01:41.6,101621,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:43.5,103492,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,20,02:00.1,120053,12,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:39.3,99279,13,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.5,99534,13,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:40.2,100165,13,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,4,01:40.0,99992,13,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,5,01:40.4,100448,13,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
